message_id,email_length,word_count,communication_time_category,body_tokenized,category
<27936946.1075855378542.JavaMail.evans@thyme>,1357,212,Evening,ina rangel phillip allen hou ect ect subject survey phillip allen full name phillip allen login pallen extension office location type computer desktop laptop pda yes type none ipaq palm pilot jornada ipaq permission access anyone email calendar yes anyone permission access email calendar yes yes ina rangel responsible updating anyone else address book yes anyone else responsible updating address book yes access shared calendar yes shared calendar yes west calendar distribution groups messaging maintains mass mailings yes please list please list notes databases applications currently use none efforts plan exact date time migration also need know normal work hours office near future vacation leave etc embedded stdolelink,HR & Internal
<18640335.1075855713056.JavaMail.evans@thyme>,1693,271,Afternoon,due problems email yesterday may received rsvp please excuse confusion may caused rsvp requested environmental strategies group convene emissions strategy meeting friday may discuss global emissions issues air quality regulation climate change multipollutant legislation explore potential business opportunities enron commercial groups friday may time lunch provided enron building floor video conference organized enable broad participation london office teleconference set others would like call primary objectives session provide latest information emissions regulation markets enron advocacy efforts worldwide receive feedback commercial interests input policy options may develop best business policy strategies enron short long term invite member group participate important strategic discussion please rsvp soon possible let know plan participate person via teleconference via video conference london office agenda forthcoming questions suggestions advance meeting please hesitate contact jeff keeler look forward participation lisa jacobson enron manager environmental strategies eye street suite washington phone fax,HR & Internal
<31333327.1075857601887.JavaMail.evans@thyme>,428,77,Afternoon,doug confirm pricing lng dela show bid nymex portion mmbtu day time period jan dec bid henry hub basis time period resulting fix price bid sonat basis translating bid notional volume contracts volume contracts exposure per move john,Energy Trading
<30636520.1075857605394.JavaMail.evans@thyme>,522,68,Morning,know user password eserver enron com john arnold enron com john arnold enron com subject concur expense document following expense report ready approval employee name henry quigley status last changed automated administrator expense report name report total amount due employee approve expense report click following link concur expense http xms enron com,News & Media
<22886818.1075857631256.JavaMail.evans@thyme>,1650,190,Morning,article nytimes com sent pkeavey ect enron com advertisement looking better solutions toshiba uniting digital mobile network innovations bold new vision information technology today tomorrow take closer look life new digital age imagine good visit toshiba com details http www nytimes com ads toshiba index html energy industry raises production record pace joseph kahn jeff gerth energy industry drilling natural gas building gas pipelines constructing power plants unprecedented pace companies respond high energy prices significantly boosting investment http www nytimes com politics html visit nytimes com complete access authoritative news coverage web updated throughout day become member today free http www nytimes com eta advertise information advertising mail newsletters creative advertising opportunities new york times web please contact alyson racer alyson nytimes com visit online media kit http www nytimes com adinfo general information nytimes com write help nytimes com copyright new york times company,Energy Trading
<17099235.1075857631439.JavaMail.evans@thyme>,1770,254,Afternoon,current notes user ensure experience successful migration notes outlook necessary gather individual user information prior date migration please take minutes completely fill following survey double click document put edit mode finish simply click reply history button hit send survey automatically sent outlook migration mailbox thank outlook migration team full name login extension office location type computer desktop laptop pda yes type none ipaq palm pilot jornada permission access anyone email calendar yes anyone permission access email calendar yes responsible updating anyone else address book yes anyone else responsible updating address book yes access shared calendar yes shared calendar distribution groups messaging maintains mass mailings yes please list please list notes databases applications currently use efforts plan exact date time migration also need know normal work hours office near future vacation leave etc,HR & Internal
<3130394.1075852711743.JavaMail.evans@thyme>,521,68,Evening,know user password eserver enron com john arnold enron com john arnold enron com subject concur expense document following expense report ready approval employee name henry quigley status last changed automated administrator expense report name report total amount due employee approve expense report click following link concur expense http xms enron com,News & Media
<33202560.1075852710453.JavaMail.evans@thyme>,622,111,Night,bullish thing point moving closer everyone psychological price target everybody dog still short next sellers need producer community saw little week williams hedging barrett transaction wouldnt say thats indicative rest community short covering rallies get common velocity move slowed significantly good except maybe bid week concern people want cover shorts selling might feel lot like trying break,Energy Trading
<3427152.1075857593257.JavaMail.evans@thyme>,3548,443,Morning,websupport websupport moneynet com john arnold john arnold enron com subject portfolio mon may dear member requested cancelled portfolio tracker emails way assist please feel free let know rapid response mail questions please incluce brief description problem subject line message sincerely customer support stephen john arnold john arnold enron com websupport rol reuters moneynet subject portfolio mon may please send emails anymore jennifer arnold portfolio tracker ptracker moneynet com please respond websupport moneynet com jarnold enron com subject portfolio mon may important message infoseek portfolio tracker user infoseek portfolio tracker service provided reuters investor longer accessible directly infoseek personal finance page however portfolio associated financial content continue accessible going directly following web site address url http www moneynet com content infoseek ptracker entering exact url case sensitive browser software location box hitting return able access portfolio suggest bookmark page future access portfolio portfolio service continue available future although may notice changes page format next several weeks thank patience glad able support financial content needs portfolio invest stocks symbol description last change volume date time afl aflac inc bmcs bmc software ene enron corp pctl picturetel wcom worldcom inc news portfolio invest ene update spanish market braces new bids cantabrico wcom worldcom sprint face merger hearing rpt france tel unveil bln orange buy tuesday research alert phillip keeps shin sat satt buy market update djia nyse volume mil transports adv decl utilities nasdaq value line stock quotes delayed least minutes questions comments problems portfolio tracker mail send mail websupport moneynet com,Financial & Accounting
<32120952.1075857593387.JavaMail.evans@thyme>,668,97,Afternoon,john arnold doug rotenberg enron com rick buy hou ect ect john lavorato enron com david haug jeffrey shankman hou ect ect jeff skilling corp enron enron subject doug confirm pricing lng dela show bid nymex portion mmbtu day time period jan dec bid henry hub basis time period resulting fix price bid sonat basis translating bid notional volume contracts volume contracts exposure per move john,Energy Trading
