message_id,email_length,word_count,communication_time_category,body_tokenized,category
<8572706.1075855378498.JavaMail.evans@thyme>,465,82,Night,reagan wanted give update changed unit mix include bedrooms reduced number buildings kipp flores working construction drawings time pursuing fha financing construction drawings complete send revised bid original bid competitive still attracted firm strong local presence contacts phillip,News & Media
<27936946.1075855378542.JavaMail.evans@thyme>,1357,212,Evening,ina rangel phillip allen hou ect ect subject survey phillip allen full name phillip allen login pallen extension office location type computer desktop laptop pda yes type none ipaq palm pilot jornada ipaq permission access anyone email calendar yes anyone permission access email calendar yes yes ina rangel responsible updating anyone else address book yes anyone else responsible updating address book yes access shared calendar yes shared calendar yes west calendar distribution groups messaging maintains mass mailings yes please list please list notes databases applications currently use none efforts plan exact date time migration also need know normal work hours office near future vacation leave etc embedded stdolelink,HR & Internal
<18351800.1075855690826.JavaMail.evans@thyme>,332,62,Afternoon,mary add balances together total spread months month payout would month month payout would month choice would like could work hrs friday another month sound fair apply loan phillip,HR & Internal
<6057369.1075855690933.JavaMail.evans@thyme>,2083,245,Morning,capacitycenter com marketing capacitycenter com mailman enron com subject gas transportation market intelligence image natural gas transporation contract information pipeline notices delivered desktop http www capacitycenter com image image image image image image image image image image register sign free trial end may bid week capacity shopper learn capacity release posted bid pick transport good price explore releases affect gas prices daily activity reports check deals done competitors pick deals match offers better market intelligence system notices system notices delivered desk last one learn ofo busy something else image capacity shopper daily activity reports improved formats choose pipelines want keep posted via email details check example daily activity report coming soon statistical snapshot capacity release miss member opportunity see quick snapshot activity interstate gas pipelines message sent select group industry professionals wish receive future notices please reply mail remove subject line copyright capacitycenter com inc rights reserved,Legal & Regulatory
<22039237.1075855690977.JavaMail.evans@thyme>,831,128,Morning,jeffrey shankman phillip allen hou ect ect keith holst hou ect ect mike grigsby hou ect ect subject large deal alert bruce sukaly enron john arnold hou ect ect mike maggi corp enron enron jeffrey shankman hou ect ect subject large deal alert make long story short williams long tolling socal years know deal tuesday afternoon williams sold merrill lynch remaining life years merrill short fixed price gas cal border day long power day heat rate socal border plus sure mrl brokered deal warehousing worth,Energy Trading
<2594534.1075855378221.JavaMail.evans@thyme>,539,103,Evening,let know get quotes pauline expecting pay something range would like see quotes description work done understanding rock removed replaced siding getting quotes put new rock need clarify jacques ready drop dollar amount release negotiations stall seems like need ahead cut utilities hopefully things smoothly phillip,News & Media
<959015.1075855723664.JavaMail.evans@thyme>,545,103,Morning,let know get quotes pauline expecting pay something range would like see quotes description work done understanding rock removed replaced siding getting quotes put new rock need clarify jacques ready drop dollar amount release negotiations stall seems like need ahead cut utilities hopefully things smoothly phillip,News & Media
<19163852.1075855723727.JavaMail.evans@thyme>,547,73,Afternoon,jay reitmeyer stanley horton enron com dmccarty enron com subject california summary attached final version california summary report maps graphs historical data phillip allen hou ect ect bcc subject additional california load information additional charts attempting explain increase demand hydro load growth temperature many assumptions made data solid numbers first set graphs,News & Media
<31424216.1075855723750.JavaMail.evans@thyme>,2074,288,Morning,guys coordinate make sure someone listens conference call week tara fundamental group recording calls happened every day phillip james steffes enron phillip allen hou ect ect subject western wholesale activities gas power conf call privileged confidential communication attorney client communication attorney work product privileges asserted please forward anyone team wants updates western wholesale matters also give opportunity raise state matters want discuss jim ray alvarez steve walton hou ect ect susan mara enron enron alan comnes pdx ect ect leslie lawner enron enron rebecca cantrell hou ect ect donna fulton corp enron enron jeff dasovich enron enron christi nicolay hou ect ect james steffes enron enron jalexander gibbs bruns com phillip allen hou ect ect linda noske hou ect ect subject western wholesale activities gas power conf call privileged confidential communication attorney client communication attorney work product privileges asserted date every thursday time pacific central eastern time number host code jim participant code everyone else attached table going ferc issues proceedings updated use tomorrow conference call available team members drive please feel free revise add update table appropriate proposed agenda tomorrow power discussion ferc market monitoring mitigation order review upcoming filings gas response subpoenas socal edison upcoming items misc unable participate call tomorrow attending senate energy resource committee hearing elements ferc market monitoring mitigation order,Legal & Regulatory
<14983560.1075855723797.JavaMail.evans@thyme>,1885,258,Afternoon,james steffes enron phillip allen hou ect ect subject western wholesale activities gas power conf call privileged confidential communication attorney client communication attorney work product privileges asserted please forward anyone team wants updates western wholesale matters also give opportunity raise state matters want discuss jim ray alvarez steve walton hou ect ect susan mara enron enron alan comnes pdx ect ect leslie lawner enron enron rebecca cantrell hou ect ect donna fulton corp enron enron jeff dasovich enron enron christi nicolay hou ect ect james steffes enron enron jalexander gibbs bruns com phillip allen hou ect ect linda noske hou ect ect subject western wholesale activities gas power conf call privileged confidential communication attorney client communication attorney work product privileges asserted date every thursday time pacific central eastern time number host code jim participant code everyone else attached table going ferc issues proceedings updated use tomorrow conference call available team members drive please feel free revise add update table appropriate proposed agenda tomorrow power discussion ferc market monitoring mitigation order review upcoming filings gas response subpoenas socal edison upcoming items misc unable participate call tomorrow attending senate energy resource committee hearing elements ferc market monitoring mitigation order,Legal & Regulatory
